Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
PL-20808-CM,2018-II,JOSE MARTIN,PESQUERA MARFEL S.A.C.,MADERA,CAJ/HIE,13.32999992,210,37.25,1
SY-5984-CM,2018-II,VICTORIA,GROUP VIOLETA S.A.C,MADERA,CAJ/HIE,18.5,238,95.39,4
PL-18450-CM,2018-II,CRISTO TE AMA YE,EFFIO NUNTON JUANA VIVIANA,MADERA,CAJ/HIE,12.22000027,180,35.37,1
CE-11077-PM,2018-II,CASITAS,PESQUERA JADA S.A.,ACERO NAVAL,N/P,25,447.42,144.33,5
IO-2402-PM,2018-II,JUNIN 3,PESQUERA CEMBALI S.C.R.L.,ACERO NAVAL,N/P,36.13000107,507.07,375.26,1
CO-28617-PM,2018-II,NUEVA ESPERANZA,EMPRESA PESQUERA MARISU S.R.L.,MADERA,N/P,23.38999939,540,127.45,1
CO-15653-PM,2018-II,CARMENCITA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,39.43000031,1196.3,422.03,23
PL-2254-CM,2018-II,JOSE RAMOS II,EMPRESA PESQUERA JOSE RAMOS S.A.C.,MADERA,CAJ/HIE,19,120,90.53,1
PT-6709-PM,2018-II,LOMAS,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,31.09000015,357.93,282,19
PL-5139-CM,2018-II,MARIA MERCEDES III,SANTAMARIA SANTISTEBAN TEODORO,MADERA,CAJ/HIE,15.22999954,280,57.42,1
SY-0270-PM,2018-II,BENDICION DE DIOS,IPANAQUE OROSCO ISRAEL ABIMAEL,MADERA,N/P,19.200000760000002,260,110,5
PT-38231-PM,2018-II,JESUS DEL CARMEN,AYALA DE JACINTO YOLANDA ;ECA DE JACINTO CLARA ;JACINTO PANTA CRESCENCIO ;JACINTO PANTA VICTORINO,MADERA,N/P,20,454,102.8,2
CO-6526-PM,2018-II,MAR DEL SUR,CORPORACION MAR DEL SUR S.A.C.,ACERO NAVAL,N/P,21.5,178.96,121,1
PT-41475-PM,2018-II,SANTO TORIBIO,PESQUERA DON ADOLFO E.I.R.L.,MADERA,N/P,20,454,89.32,1
PL-18087-CM,2018-II,CHOLO FERMIN,JACINTO QUEREVALU ROMAN ;JACINTO QUEREVALU ANDRES,MADERA,CAJ/HIE,12.97999954,115,35,1
TA-20333-CM,2018-II,SIEMPRE ROSITA YANET,EMPRESA PESQUERA ROSIJAT MA E.I.R.L.,MADERA,N/P,13.649999619999999,350,62.49,3
PT-11155-CM,2018-II,VICTORIA,PANTA IPANAQUE DOMINGO ;PANTA PANTA CRUZ MARIA,MADERA,CAJ/HIE,18,450,55.56,1
PL-18663-CM,2018-II,MI GLADYS GLASILDA,SANDOVAL DAMIAN MARIA HUMBERTA ;SUCLUPE TEJADA JOSE DE LA ROSA,MADERA,CAJ/HIE,11.52000046,160,36,3
CO-20238-PM,2018-II,DON ANGEL,ALBERCA PINTADO MERCEDES MARISOL ;ECA SANCHEZ ANTONIO ;ECA SANCHEZ JOSE ELIAS ;ECA SANCHEZ SANTOS ANCELMO ;JACINTO PANTA LUZ MARIA ;PERICHE DE ECA GLORIA PILAR,MADERA,CAJ/HIE,16.5,177,80.02,2
PT-13621-PM,2018-II,SAN MARTIN DE PORRAS III,PANTA PANTA MARIA PELAGIA ;PERICHE PANTA LEONIDAS,MADERA,N/P,17.799999239999998,365,51.58,1
CO-15652-PM,2018-II,MARIA PIA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,62,3070,862.42,20
PT-10743-PM,2018-II,MAR DEL NORTE,PESQUERA MAR DEL NORTE S.A.C.,ACERO NAVAL,N/P,23.87999916,NA,115.58,1
CO-13060-PM,2018-II,ATLANTICO III,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,36.90000153,860,398.73,10
PT-28753-PM,2018-II,MANUEL EDUARDO,AYALA DE JACINTO YOLANDA ;ECA DE JACINTO CLARA ;JACINTO PANTA CRESCENCIO ;JACINTO PANTA VICTORINO,MADERA,N/P,22,454,101.33,2
CO-16659-CM,2018-II,MARIA MARTHA,FIESTAS CALDERON CRISTIAN ;FIESTAS CALDERON JOHN BASILIO ;FIESTAS CALDERON JULIO JOEL ;FIESTAS FIESTAS EDINSON AYMAR ;FIESTAS FIESTAS HENRY JUNIOR ;FIESTAS PAZO ALONDRA MAXIMINA ;FIESTAS PAZO DENNIS OMAR ;FIESTAS PAZO EDWIN ADRIAN ;FIESTAS RUIZ A,MADERA,CAJ/HIE,18.60000038,347,71.57,1
CE-4026-PM,2018-II,TINO,INVERSIONES MOREDA S.A.C,ACERO NAVAL,N/P,27.700000760000002,466.06,208.15,3
CO-9911-CM,2018-II,KARINA,PERICHE MARTINEZ FIDEL,MADERA,N/P,15.57999992,355,37.29,1
TA-19641-CM,2018-II,VIRGEN DE LAS MERCEDES,TUME ECA MERCEDES MARIA,MADERA,CAJ/HIE,14.59000015,238,85.15,1
PT-3299-CM,2018-II,MARIA MAGALY,CORPORACION PALVAR S.A.C.,MADERA,CAJ/HIE,15,215,69.64,2
PL-17662-CM,2018-II,JOSE DEL CARMEN,PESQUERA CYMAR S.A.C.,MADERA,CAJ/HIE,14.850000380000001,180,33.6,1
CO-24492-PM,2018-II,MARIA MERCEDES I,MERBAR S.A.C.,MADERA,N/P,20.55999947,455,107.01,2
PL-21090-CM,2018-II,DON MANUEL,FIESTAS FARRO DIONICIO ;FIESTAS FARRO FRANCISCO ;FIESTAS FARRO JOSE MIGUEL ;LLENQUE GALAN MARIA ESTHER ;LLENQUE LLENQUE MARIA ;TEQUE FIESTAS MARIA SEVERA,MADERA,N/P,14.94999981,380,60.24,1
PT-6020-CM,2018-II,YAMANASHI,DEL CASTILLO CA?RI GARY CANOVAS,MADERA,N/P,18.10000038,148,75.72,1
CO-10256-CM,2018-II,RUSSO,NEGOCIACIONES MAJU & MAGY E.I.R.L.,MADERA,CAJ/HIE,14.899999619999999,2200,73.77,1
PL-19733-CM,2018-II,ASMAR II,CORPORACION PESQUERA ERMA S.A.C.,MADERA,CAJ/HIE,18.950000760000002,240,98.17,3
CO-16853-PM,2018-II,MICHELA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,38.5,783.3,401.17,29
PL-2128-CM,2018-II,JUANITA ISABEL,GORDILLO JACINTO TORIBIA,MADERA,CAJ/HIE,19.97999954,450,75.1,2
PL-18759-CM,2018-II,MI BLANQUITA,FIESTAS CURO DE LLENQUE CECILIA PATRICIA ;LLENQUE CURO ITALO JAVIER ;LLENQUE CURO PERCY WILLY ;PAIRAZAMAN ZULOETA CARMEN FANNY,MADERA,CAJ/HIE,17.049999239999998,210,58,2
CO-14964-PM,2018-II,GUANAY,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,37.72000122,633.84,375.66,23
CE-28927-CM,2018-II,JULIO VALERIANO,INVERSIONES VIKEYLI E.I.R.L.,MADERA,CAJ/HIE,17.40999985,NA,61.36,1
PT-3878-CM,2018-II,TOKYO,CORPORACION PESQUERA EDC S.A.C.,MADERA,CAJ/HIE,14,55,71.66,1
PL-13070-CM,2018-II,JOSE ROSARIO,COMERCIALIZADORA PESQUERA S & M S.A.C.,MADERA,CAJ/HIE,12.05000019,99.48,33.56,3
PT-6093-CM,2018-II,VIRGENCITA DE LA PUERTA,PESQUERA PUERTA PERU SRL.,MADERA,CAJ/HIE,14.5,3000,54.67,1
CE-14969-CM,2018-II,APOSTOL SANTIAGO,CORPORACION PESQUERA ERMA S.A.C.,MADERA,CAJ/HIE,16.76000023,220,95.48,3
PL-2135-CM,2018-II,DIOS ME BENDIGA,PESQUERA QUEREBALU S.A.C.,MADERA,N/P,15.17000008,350,47.98,1
ZS-19410-CM,2018-II,DON MARIANO,CORPORACION PALVAR S.A.C.,MADERA,N/P,45.59999847,190,53.96,2
PL-2730-CM,2018-II,MI MELCHORITA,CAMPOS ALMENDRAS JUAN JOSELITO ;SOTERO CHANG PERCY ANTONIO,MADERA,CAJ/HIE,12.32999992,130,35,1
CO-19888-CM,2018-II,NIÑO JESUS,PANTA PERICHE AGUSTIN ;PANTA PERICHE CRESENCIO ;PANTA PERICHE FROILAN ;PANTA PERICHE JOSE HIPOLITO ;PANTA PERICHE LUIS ALBERTO,MADERA,CAJ/HIE,14.85999966,285,64.68,1
PT-10211-CM,2018-II,VIRGEN DEL CARMEN III,CHUNGA ECA ROSA ESTHER ;ECA DE JACINTO PAULINA ;JACINTO CHUNGA DEMETRIO ;JACINTO ECA JUAN PASCUAL ;JACINTO ECA PABLO ;PANTA DE JACINTO MARIA SANTOS TRINIDAD ;PANTA ECA MARITZA,MADERA,CAJ/HIE,17.55999947,380,53.36,1
TA-21059-PM,2018-II,MI ANITA,CHUNGA ECA ROSA ESTHER ;ECA DE JACINTO PAULINA ;JACINTO ECA JUAN PASCUAL ;JACINTO ECA PABLO ;PANTA ECA MARITZA,MADERA,N/P,19.89999962,440,108.25,1
PT-50165-PM,2018-II,MI ANITA VICTORIA,ECHE SANCHEZ DE RUMICHE ANITA ;RUMICHE PANTA VALENTIN,MADERA,N/P,20.14999962,540,72.71,1
CO-19773-PM,2018-II,MARIA DEL CARMEN,PANTA DE PANTA MARIA MATILDE ;PANTA PANTA CARMEN JANET ;PANTA PANTA DOMINGA DEL PILAR ;PANTA PANTA INGRID LISBETH ;PANTA PANTA LEONCIO ALEXANDER ;PANTA PANTA MARIA ESMERALDA,MADERA,N/P,22,420,106.11,1
PT-50114-PM,2018-II,JESSICA OLINDA,JACINTO PANTA CLEMENTINA MARIA ;PANTA PANTA PEDRO,MADERA,N/P,22,600,72.5,3
PT-11172-CM,2018-II,MILAGRO DE JESUS II,BOLO ECA MARUJA ;TEMOCHE JACINTO EUSEBIO,MADERA,CAJ/HIE,13.21000004,140,44.96,1
TA-5673-CM,2018-II,DIVINO CAUTIVO,JACINTO PANTA CLEMENTINA MARIA ;PANTA PANTA PEDRO,MADERA,N/P,18,450,90.8,3
PT-6187-PM,2018-II,MILAGRO DE NOE,PANTA PANTA JUAN CARLOS ;PANTA PANTA PABLO CESAR,MADERA,CAJ/HIE,20,454,74.8,1
PT-50331-PM,2018-II,MI HERNANCITO,JACINTO DE PANTA CARMEN ROSA ;PANTA PANTA EDUARDO,MADERA,N/P,20.01000023,600,71.1,1
PT-30382-PM,2018-II,VIRGEN DEL CARMEN,JACINTO CHUNGA ALBERTO ;JACINTO RUMICHE CESAR HERNAN ;JACINTO RUMICHE MILTHON JAVIER ;RUMICHE VALENCIA DE JACINTO MARGARITA,MADERA,N/P,20,440,108.55,1
PT-18004-CM,2018-II,DON FELIX IV,ECHE PINGO ORLANDO ;GONZALES RUMICHE JOSE MARIA ;GONZALES RUMICHE MANUEL DE LA CRUZ ;GONZALES RUMICHE VICENTE,MADERA,CAJ/HIE,14.31000042,238,82.37,1
CO-41037-PM,2018-II,VALENTINA,PESQUERA EXALMAR S.A.A.,MADERA,N/P,22.62999916,340,109.99,23
CO-16871-CM,2018-II,MILAGRO DE MI MADRE,INVERSIONES MILAGRO DE MI MADRE S.A.C.,MADERA,CAJ/HIE,18.17000008,380,70.44,1
PT-17970-CM,2018-II,ARCA DE NOE,PANTA ALVAREZ CESAR AUGUSTO ;PANTA ALVAREZ LUIS ALBERTO ;PANTA ALVAREZ ORLANDO ;PANTA ALVAREZ TOMAS,MADERA,CAJ/HIE,15.80000019,380,62.89,2
PT-11863-CM,2018-II,JUAN ENRIQUE,DNG S.A.C.,MADERA,CAJ/HIE,14.75,238,80.6,1
PT-43278-PM,2018-II,DON ROBERTH,ALVAREZ DE PANTA LUISA ;PANTA IPANAQUE ARTEMIO ;PANTA IPANAQUE MIGUEL ;PANTA IPANAQUE VENANCIO ;PANTA IPANAQUE VICENTE ;RUIZ DE PANTA SANTOS EMERENCIANA ;TUME PANTA FELICITA,MADERA,N/P,20,450,72.06,1
PL-17033-BM,2018-II,WALTER HERNAN,LLENQUE DE PUESCAS BEATRIZ ;LLENQUE FIESTAS DE PUESCAS MARIA VICTORINA ;LLENQUE VDA DE PUESCAS BALBINA ;PUESCAS FIESTAS JULIO ;PUESCAS LLENQUE FORTUNATO ORLANDO,MADERA,CAJ/HIE,13.68000031,238,52.38,1
PT-14743-CM,2018-II,EXITO V,PANTA DE PANTA NATIVIDAD ;PANTA ECA ANGEL ;PANTA ECA DIONISIO ;PANTA ECA REGULO ;QUEREVALU DE PANTA CARMEN ;RUMICHE DE PANTA ROSA,MADERA,CAJ/HIE,18.70999908,238,80.5,1
HO-20034-PM,2018-II,KIMBERLY,PESQUERA JUANITA S.R.L.,MADERA,N/P,22,330,115.64,1
PT-3875-CM,2018-II,EL PIQUERO,ANTON BANCAYAN FRANCISCO,MADERA,N/P,15.15999985,350,95.79,1
PT-4431-PM,2018-II,CORAZON DE MARIA,PANTA ALVAREZ AGUSTIN ;PANTA ALVAREZ JUAN ;PANTA ALVAREZ SANTOS ;PERICHE PANTA MARIA VERONICA ;RUIZ SABA BERONICA ;SAMILLAN OLAYA JULISSA MARIVI,MADERA,N/P,20.799999239999998,454,81.9,2
PL-20871-CM,2018-II,MONITOR HUASCAR,GAMARRA LLUEN ROSA AMELIA ;SANTISTEBAN URCIA PEDRO,MADERA,CAJ/HIE,14.64000034,320,49.17,1
CO-17710-CM,2018-II,GUIAME MADRE MIA,INVERSIONES GUIAME MADRE MIA S.A.C.,MADERA,CAJ/HIE,18.299999239999998,560,83.17,1
PT-22483-CM,2018-II,MI JUAN NOE,PANTA ALVAREZ AGUSTIN ;PANTA ALVAREZ JUAN ;PANTA ALVAREZ SANTOS ;PERICHE PANTA MARIA VERONICA ;RUIZ SABA BERONICA ;SAMILLAN OLAYA JULISSA MARIVI,MADERA,CAJ/HIE,17.200000760000002,365,74.8,2
PT-17973-CM,2018-II,MI ESPERANZA III,CHAPA PERICHE MARIA AGUEDA ;ECA MARTINEZ PEDRO PABLO ;PAIVA MARTINEZ ELISEO ;PANTA DE ECA MARIA,MADERA,CAJ/HIE,18,365,69.21,3
PT-6156-PM,2018-II,MI ESPERANZA II,CHAPA PERICHE MARIA AGUEDA ;ECA MARTINEZ PEDRO PABLO ;PAIVA MARTINEZ ELISEO ;PANTA DE ECA MARIA,MADERA,CAJ/HIE,15.30000019,365,50.62,3
PT-21366-CM,2018-II,MARIA ANGELITA,ECHE GALAN ALDAIR ALEXIS ;ECHE GALAN CESAR ALBERTO ;ECHE GALAN DANY JOEL ;ECHE GALAN EDER JAVIER ;ECHE GALAN JORGE LUIS ;ECHE GALAN JUNIOR GALINDO ;ECHE GALAN KEVIN DENILSON ;ECHE GALAN WILMER DAVID ;GALAN DE ECHE ISIDORA,MADERA,CAJ/HIE,16.26000023,300,68.6,1
PL-2125-PM,2018-II,MARIA FIDELA,CORPORACION LIOBRAND S.A.C.,MADERA,CAJ/HIE,18.39999962,371,71.94,1
PT-5506-BM,2018-II,SEÑOR DE LA SOLEDAD,PESQUERA MI GABRIELA S.A.C.,MADERA,CAJ/HIE,14.94999981,185,48.19,1
TA-12319-CM,2018-II,MILAGRO DE LUREN 3,PANTA PERICHE GREGORIO ;PANTA PERICHE LUIS FERNANDO ;PANTA PERICHE MODESTO ;PANTA PERICHE SEBASTIAN,MADERA,CAJ/HIE,20,440,47.35,2
PT-21118-CM,2018-II,JOSE ISIDRO,PESQUERA JOSE ISIDRO S.A.C.,MADERA,N/P,16.75,300,96.02,1
CE-1862-PM,2018-II,MILPAZ,PESQUERA LAVIANA S.A.C.,ACERO NAVAL,N/P,28.71999931,600,202.66,2
PL-18109-CM,2018-II,MI MARY 2,FIESTAS FIESTAS JULIO,MADERA,CAJ/HIE,15,365,56.71,1
PS-10414-PM,2018-II,TASA 414,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.59999847,790.4,421,48
PT-4241-PM,2018-II,SAN JUAN,SIEMPRE JUAN E.I.R.L,MADERA,N/P,13,128,102.81,2
HO-5616-CM,2018-II,JUANITA 2,RAMOS BAZALAR OBDULIA ;RAMOS MORANTE BENIGNO TEODORO,MADERA,CAJ/HIE,19,330,70.04,1
PL-2257-CM,2018-II,MILAGROSA CRUZ DE CHALPON,COMERCIALIZADORA PESQUERA S & M S.A.C.,MADERA,CAJ/HIE,13.10999966,240,49.4,3
PL-6139-CM,2018-II,LUISA DE HUMAY,ECHE SANCHEZ GREGORIO,MADERA,N/P,19,380,97.79,1
CO-19867-PM,2018-II,BAMAR VIII,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,57.90000153,1850,650,19
PL-4847-CM,2018-II,ROSA ISIDORA,TEQUE FIESTAS DUVAN SAMIR ;TEQUE FIESTAS FIORELLA YAQUELINE ;TEQUE FIESTAS JOSE CARLOS ;TEQUE FIESTAS JOSE EDWING ;TEQUE FIESTAS JOSUE VALERIANO ;TEQUE FIESTAS LUIS HENRY,MADERA,CAJ/HIE,13.399999619999999,160,52.4,1
CO-14259-PM,2018-II,RODGA I,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,51.54999924,1280,497.53,27
CO-14971-PM,2018-II,TASA 427,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,42.70000076,1052,430,48
CO-17057-PM,2018-II,TASA 58,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,46,1051,575.6,48
CO-19662-CM,2018-II,SAN FRANCISCO,PAZO QUEREVALU MANUEL RAMON,MADERA,CAJ/HIE,17.299999239999998,180,38.37,1
PL-17356-CM,2018-II,MI MARY,FIESTAS FIESTAS JUAN AUGUSTO,MADERA,N/P,17,238,35.38,1
PT-10794-CM,2018-II,CHALPON II,PANTA ECA MODESTO,MADERA,CAJ/HIE,15,238,34.54,1
CE-28791-PM,2018-II,ISABELITA,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,52.68000031,1875,487.01,19
PT-20878-CM,2018-II,SIEMPRE MI HERNANCITO II,PANTA DE PERICHE JULIA ;PANTA PANTA JOSE ANDRES ;PANTA PERICHE MARIA CANDIDA ;PERICHE ECA PEDRO CELESTINO,MADERA,N/P,16.76000023,238,86.01,2
CO-29012-PM,2018-II,SOLO DIOS CON SU PODER 3,PAIVA HUAMANCHUMO SEGUNDO MANUEL,MADERA,N/P,18,290,66.94,2
PT-43441-PM,2018-II,SANTA TERESITA,JACINTO PANTA ALEJANDRO ;JACINTO PANTA ISIDRO ;JACINTO PANTA JOSE ;JACINTO PANTA LORENZO ;PANTA DE JACINTO MARIANELLY ;PANTA ECA ELVIRA ;PINGO BAYONA NANCY MARGOT,MADERA,N/P,18.07999992,365,44.64,1
PT-11171-CM,2018-II,MELCHORITA II,QUEREVALU LLENQUE HUMBERTO ;QUEREVALU LLENQUE JOSE SANTIAGO ;QUEREVALU LLENQUE PEDRO PABLO,MADERA,N/P,13.850000380000001,350,40,1
PT-11749-CM,2018-II,LEYLITA 3,FLORES DE SANCHEZ MARIANA ;RUIZ DE SANCHEZ PAULINA ;SANCHEZ MORALES GREGORIO ;SANCHEZ MORALES SANTOS CLEMENTE,MADERA,N/P,11.25,NA,67.68,1
CO-21017-PM,2018-II,MILAGROS DE CHALPON I,VITE GROUP E.I.R.L.,MADERA,N/P,21.14999962,340,100,1
PL-23458-CM,2018-II,SANTISIMA VIRGEN DE LA PUERTA DE OTUZCO,FIESTAS GALAN DE LLENQUE MARIA JUSTINA ;LLENQUE FIESTAS MANUEL RAMOS,MADERA,CAJ/HIE,17.14999962,385,81.36,1
CO-18170-CM,2018-II,DON JULIO IV,EMPRESA PESQUERA BRANIMAR S.R.L.,MADERA,CAJ/HIE,18.799999239999998,283.37,69.58,2
CE-15261-PM,2018-II,YAGODA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,48.04999924,1305,614.05,19
PT-43421-PM,2018-II,MI AUGUSTO OSWALDO,INVERSIONES MI AUGUSTO OSWALDO S.A.C.,MADERA,N/P,21.049999239999998,540,97.44,1
PT-3363-CM,2018-II,JOSE HIPOLITO,PANTA PERICHE FROILAN,MADERA,N/P,15.5,365,76.05,2
PT-21127-PM,2018-II,MI HERMINIA,JACINTO CHUNGA DEMETRIO ;JACINTO PANTA LUCAS ;PANTA DE JACINTO MARIA SANTOS TRINIDAD ;PANTA PANTA DE JACINTO LIDIA,MADERA,N/P,18.67000008,328,92.12,1
PT-4218-CM,2018-II,BUENAVENTURA,PANTA ALVAREZ CESAR AUGUSTO ;PANTA ALVAREZ LUIS ALBERTO ;PANTA ALVAREZ ORLANDO ;PANTA ALVAREZ TOMAS,MADERA,N/P,16,440,91.68,2
CO-51228-PM,2018-II,MILAGRO DE LUREN III,PANTA PERICHE GREGORIO ;PANTA PERICHE LUIS FERNANDO ;PANTA PERICHE MODESTO ;PANTA PERICHE SEBASTIAN,MADERA,N/P,25,600,96.58,2
PT-3435-PM,2018-II,SIEMPRE CRUZ DE CHALPON,GUTIERREZ PACHERRE GLADYS YOLANDA ;LLENQUE SANCHEZ SOCORRO ;VITE ZETA FRANCISCO ;VITE ZETA MERARDO,MADERA,N/P,20.10000038,440,107.89,2
PT-21084-PM,2018-II,DON ALBERTO,PESQUERA PACIFICO DEL NORTE S.A.C.,MADERA,CAJ/HIE,23.25,440,100,3
HO-21122-CM,2018-II,JUANITA,RAMOS MORANTE BENIGNO TEODORO,MADERA,CSW,16.5,220,65.54,1
CO-17433-PM,2018-II,MARIA AUXILIADORA,INVERSIONES PESQUERA MARIA AUXILIADORA S.R.L.,MADERA,N/P,16.39999962,380,93.39,2
CO-17998-PM,2018-II,SIEMPRE SAN JUAN,HEMIR E.I.R.L.,MADERA,CAJ/HIE,22.05999947,600,109.94,2
PT-17969-CM,2018-II,CHAVELITA TRES,LLENQUE DE PAZO MARIA FRANCISCA ;PAZO LLENQUE TOMAS AQUILINO,MADERA,CAJ/HIE,11.61999989,222,33.2,2
CE-10501-PM,2018-II,ALEJANDRIA VI,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38.75,791,408.34,20
PL-3023-CM,2018-II,MI FE EN CRISTO,ALBINES CUSTODIO CARLOS DAVID ;ALBINES CUSTODIO DAYANA ;ALBINES CUSTODIO VICTOR DANIEL ;ALBINES NUNTON JUAN DE DIOS ;ALBINES SANTOS JOSE REYES ;CUSTODIO AYASTA JANNET EUSEBIA ;LLAUCE MARCHAN CRISTINA YECENIA ;NUNTON CASTRO GREGORIA,MADERA,N/P,17,200,40.63,1
CE-31443-CM,2018-II,MONITOR HUASCAR,PESQUERA MAQUEN S.A.C.,MADERA,N/P,20,365,99.32,1
PT-21085-PM,2018-II,BENDICION DEL SEÑOR,ECA DE TUME MARIA CRISTINA ;TUME MORALES FELIPE,MADERA,CAJ/HIE,21.90999985,600,107,2
PT-6188-CM,2018-II,MILAGRO DE LA VIRGEN,VITE ZETA SANTOS,MADERA,CAJ/HIE,19.799999239999998,440,94.6,1
PL-002265-CM,2018-II,MI JUAN,CUSTODIO HUAMANCHUMO JUAN ANTONIO ;ZAVALETA MARTINEZ MARIA FRANCISCA,MADERA,CAJ/HIE,19.67000008,540,83.1,1
PT-5240-CM,2018-II,ROSITA JANET,EMPRESA PESQUERA ROSIJAT MA E.I.R.L.,MADERA,N/P,17,365,37.92,3
CO-18073-PM,2018-II,JESUS SOBRE LAS AGUAS,PESQUERA JESUS SOBRE LAS AGUAS S.R.L.,MADERA,CAJ/HIE,15.55000019,380,64.61,1
PT-11860-CM,2018-II,MI SAN MARTIN III,PANTA JACINTO SUSANA ;PANTA PANTA PATRICIO,MADERA,CAJ/HIE,13.72000027,230,51.78,1
HO-1143-CM,2018-II,MELISSA,PESQUERA JANO S.A.C.,MADERA,N/P,14.649999619999999,129.75,79.55,3
PT-21113-CM,2018-II,MI FELICIANO,ECHE PANTA SANTOS FELICIANO ;ECHE RAMIREZ ANTONIO ;ECHE RAMIREZ JULIO ;ECHE RAMIREZ SANTOS VICENTE ;ECHE RAMIREZ VICTORINO,MADERA,N/P,11.82999992,200,34.11,1
PT-17971-CM,2018-II,SAN PEDRO,ALVAREZ ECHE MARIA DOMINGA ;JACINTO ECHE MARIA MAGDALENA ;PANTA PANTA GILBERTO ;PANTA PANTA JOSE MARCELINO ;PANTA PANTA MARIANO ;PANTA PANTA PEDRO,MADERA,CAJ/HIE,24.10000038,429,103.8,1
PT-17972-CM,2018-II,SEÑOR DE LA JUSTICIA 2,CONSORCIO MUZA S.A.C,MADERA,CAJ/HIE,13.56000042,350,45.79,7
CO-20307-CM,2018-II,EXITO DEL PACIFICO II,ECA TEMOCHE DAVID,MADERA,N/P,18,380,106.08,1
PL-11759-CM,2018-II,ALMIRANTE GRAU Nº 2,PESQUERA LUCIANA S.A.C.,MADERA,N/P,15,362,57.99,2
PL-15498-CM,2018-II,MARIA EUGENIA 2,FIESTAS MARTINEZ CIRO ALONSO ;FIESTAS MARTINEZ ISABEL JULISA,MADERA,CAJ/HIE,14.850000380000001,385,57.42,1
CO-17925-CM,2018-II,EXITO OCEANO I,ALVAREZ VDA DE PANTA PLACIDA ;PANTA ECA DOMINGO ;PANTA ECA EXCEQUIEL ;PANTA ECA JOSE BONIFACIO ;PANTA ECA PABLO ;PANTA PANTA MARIA SANTOS ;RUIZ DE PANTA NICOLASA,MADERA,CAJ/HIE,17.07999992,177.47,83.34,1
PT-19862-CM,2018-II,JESUS EN TI CONFIO,EMPRESA PESQUERA JESUS EN TI CONFIO S.C.R.L.,MADERA,CAJ/HIE,15,365,56.63,1
PT-14741-CM,2018-II,DON LUCHO,PANTA PANTA GILBERTO ;PANTA PANTA JOSE MARCELINO ;PANTA PANTA SANTOS MARINO,MADERA,CAJ/HIE,16.37000084,142,66.19,1
SY-21108-PM,2018-II,PALMAR 3,PALMA LEYTON ELIANA EDILUD,MADERA,N/P,20.85000038,640,100.55,1
PT-18173-CM,2018-II,MARIA SIXTA 3,MARIA AURELIA PERICHE ALVAREZ ;PANTA ECA JUAN EMILIO,MADERA,CAJ/HIE,16.84000015,238,90.83,1
CE-0003-PM,2018-II,DON RAUL,INVERSIONES QUIAZA SAC.,ACERO NAVAL,N/P,27.47999954,293.06,227.01,2
ZS-0931-CM,2018-II,MI YAHVE,GROUP MARCYMAR S.A.C.,MADERA,N/P,19.60000038,365,101.77,1
PT-4215-CM,2018-II,JHONY MANUELITO,ALVAREZ ECHE JUAN,MADERA,N/P,15,380,70.64,1
PT-3431-CM,2018-II,SEÑOR DE LA JUSTICIA,CONSORCIO MUZA S.A.C,MADERA,N/P,11.31999969,240,33.4,7
PT-3399-CM,2018-II,MAGDALENA DEL MAR,PESQUERA H Y J S.A.C.,MADERA,N/P,14.80000019,250,75.15,2
PL-3027-CM,2018-II,JESUS EN TI CONFIO I,JACINTO DE PANTA MARIA TEMPORA ;PANTA JACINTO CLAUDIO ;PANTA JACINTO MARIANO ;PANTA PANTA JOSE MERCEDES ;PERICHE MARTINEZ DE PANTA FRANCISCA ;RUIZ JACINTO DE PANTA ROSA ISABEL,MADERA,CAJ/HIE,18,365,72.31,1
PT-3312-CM,2018-II,DON ISIDRO,ECHE PANTA REGULO ;ECHE PANTA WALTER,MADERA,N/P,14.21000004,125,42.01,1
PT-14425-CM,2018-II,MARIA SIXTA II,PANTA BOLO FRANCO EDILBERTO ;PANTA BOLO MARLENY ;PANTA PANTA ALFREDO HENRY ;PANTA PANTA JOSE ALONSO,MADERA,CAJ/HIE,15.22999954,238,91.78,1
CE-15259-PM,2018-II,CHAVELI II,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,49.15000153,1100,567.83,19
CO-15735-CM,2018-II,MI CAUTIVO III,EMPRESA PESQUERA MI CAUTIVO III S.A.C.,MADERA,CAJ/HIE,17.90999985,350,66.1,1
